,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8
gene_1,-1.809692736,-0.725432162,-0.396456873,-0.723629128,0.755442961,0.566940415,0.647535079,0.319348777
gene_2,1.947685413,0.900890329,0.177991974,0.529348892,-1.06608114,-1.623589227,-0.933812081,-0.201485819
gene_3,2.218120994,0.214332919,0.686693962,-0.174116687,-1.572065353,-0.785050775,-0.800531414,-2.127578883
gene_4,1.103294244,1.30218381,0.872184492,1.074505641,-1.220311078,-0.904801355,-1.297600473,-1.059872425
gene_5,0.689438917,1.341237332,0.955071303,1.317819373,-1.206133732,-0.932917785,-0.464612357,0.154208988
gene_6,0.778742276,1.067771267,1.1115556,0.387459589,-0.478036319,-0.355590114,-0.784986648,-1.115467953
gene_7,1.321731912,1.132808177,0.12195495,0.790333905,-1.636555491,-0.678839215,-1.014508743,-2.057073517
gene_8,2.156108084,0.540149188,0.729103898,0.522106244,-1.987361856,-0.831160092,-0.400529546,-1.280875889
gene_9,2.074330517,1.4366266,-0.165103812,1.122486607,-0.917833168,-0.917833168,-0.917833168,-0.917833168
gene_10,1.206711274,0.965297147,0.333114374,0.517583526,-1.140551632,-0.942688428,-0.925026527,-2.087489009
